concept,definition,labels,sources
Registro Máster de Arranque (MBR),Pequeño programa almacenado en el primer sector de un disco duro que inicia el proceso de arranque del sistema operativo. Contiene información sobre las particiones del disco y su organización.,Sistemas de Archivos y Operaciones de E/S,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Sistema de Archivos Distribuido,Sistema de archivos que permite que múltiples usuarios o clientes accedan a archivos almacenados en uno o más servidores remotos o locales como si estuvieran localizados en su propio sistema.,Sistemas de Archivos y Operaciones de E/S,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Operación de E/S Asíncrona,Operación de E/S que permite que otras operaciones continúen antes de que la operación de E/S haya terminado. Esto puede mejorar el rendimiento al no hacer que el sistema o la aplicación esperen a que se complete la operación.,Sistemas de Archivos y Operaciones de E/S,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Sistema de Archivos Virtual,Capa de abstracción entre el sistema operativo y el sistema de archivos físico. Permite a los sistemas operativos manejar y acceder a diferentes tipos de sistemas de archivos de manera uniforme.,Sistemas de Archivos y Operaciones de E/S,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Partición de Disco,"Segmento del disco duro físico que funciona como si fuera un disco independiente. Las particiones permiten a los usuarios dividir un solo disco en áreas separadas para diferentes propósitos, como arrancar diferentes sistemas operativos o separar datos del sistema.",Sistemas de Archivos y Operaciones de E/S,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
RAID (Conjunto Redundante de Discos Independientes),"Tecnología que utiliza múltiples discos duros para mejorar el rendimiento y/o proporcionar redundancia. Los datos se distribuyen en diferentes discos utilizando diversas técnicas, como el striping (distribución de datos) o el mirroring (copiado de datos).",Sistemas de Archivos y Operaciones de E/S,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Jornaling o Registro de Transacciones,"Mecanismo utilizado por algunos sistemas de archivos para mantener la integridad de los datos registrando las transacciones que modificarán el sistema de archivos. Si un fallo ocurre durante una transacción, el sistema de archivos puede revertir o completar la transacción usando el journal, evitando inconsistencias.",Sistemas de Archivos y Operaciones de E/S,"[Tanenbaum, A. S. (2008) Modern Operating Systems Pearson Educación, México. (Recomendada por UDG)] "
Bloqueo de Archivos,"Mecanismo que previene que múltiples procesos o usuarios accedan o modifiquen un archivo simultáneamente. Es crucial en sistemas donde múltiples procesos o usuarios pueden intentar modificar un archivo al mismo tiempo, para prevenir inconsistencias o conflictos.",Sistemas de Archivos y Operaciones de E/S,"[Stallings, W. (2011), Operating Systems: Internals and Design Principles. Prentice Hall. 7th Edition. (Recomendada por UDG)] "
Espacio de Swap o Intercambio,"Espacio en un disco utilizado por el sistema operativo para mover páginas o segmentos de memoria física hacia y desde el disco, permitiendo al sistema administrar más memoria de la que está físicamente disponible. Es una parte esencial de la administración de la memoria virtual.",Sistemas de Archivos y Operaciones de E/S,"[Silberschatz, A., Galvin, P. B., & Gagne, G. (2010) Operating System Concepts. John Wiley & Sons Inc. 8th Edition. (Recomendada por UDG)] "
Inteligencia Artificial (IA),"Campo de estudio que busca crear máquinas que puedan simular habilidades cognitivas humanas como el aprendizaje, razonamiento, percepción, lenguaje y resolución de problemas.",Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Agentes Inteligentes,"Entidades autónomas capaces de percibir su entorno, razonar sobre él y actuar para alcanzar objetivos específicos.",Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Sistema Basado en Reglas,Sistema de IA que utiliza un conjunto de reglas para inferir conclusiones a partir de datos específicos.,Fundamentos de Inteligencia Artificial,"[Rich, E., & Knight, K. (2009). Artificial intelligence. 3ra. Edición. McGraw Hill, New. (Recomendada por UDG)] "
Sistemas Expertos,"Programas de computadora diseñados para tomar decisiones en áreas específicas, emulando la habilidad de toma de decisiones de un experto humano.",Fundamentos de Inteligencia Artificial,"[Nilsson, N. J. (2009). Artificial intelligence: a new synthesis. Morgan Kaufmann (Recomendada por UDG)] "
Búsqueda Informada,Técnicas de búsqueda que utilizan conocimiento específico sobre el problema para encontrar soluciones más eficientemente que las técnicas de búsqueda no informada.,Fundamentos de Inteligencia Artificial,"[Rich, E., & Knight, K. (2009). Artificial intelligence. 3ra. Edición. McGraw Hill, New. (Recomendada por UDG)] "
Test de Turing,Propuesta por Alan Turing como un criterio para determinar si una máquina puede pensar o comportarse de manera indistinguible de un ser humano.,Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Razonamiento Basado en Casos,Método de razonamiento y aprendizaje en la IA que utiliza casos específicos o experiencias anteriores para formular soluciones a problemas nuevos.,Fundamentos de Inteligencia Artificial,"[Nilsson, N. J. (2009). Artificial intelligence: a new synthesis. Morgan Kaufmann (Recomendada por UDG)] "
Inteligencia Computacional,"Subcampo de la IA que se centra en técnicas heurísticas y aproximadas, inspiradas en procesos biológicos y naturales, para solucionar problemas que son difíciles de resolver con técnicas exactas.",Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Redes Neuronales Artificiales,"Modelos computacionales inspirados en la estructura y funcionamiento de las redes neuronales biológicas, utilizados para el reconocimiento de patrones, aprendizaje automático y simulación de procesos cognitivos.",Fundamentos de Inteligencia Artificial,"[Rich, E., & Knight, K. (2009). Artificial intelligence. 3ra. Edición. McGraw Hill, New. (Recomendada por UDG)]"
Inferencia Automática,Proceso utilizado en sistemas de IA para derivar conclusiones a partir de premisas utilizando reglas lógicas.,Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Búsqueda No Informada,"Técnicas de búsqueda que no utilizan conocimiento específico sobre el problema, sino que exploran el espacio de estados hasta encontrar una solución.",Fundamentos de Inteligencia Artificial,"[Rich, E., & Knight, K. (2009). Artificial intelligence. 3ra. Edición. McGraw Hill, New. (Recomendada por UDG)] "
Problema de Satisfacción de Restricciones,"Problema en el que se busca encontrar valores para variables que satisfacen una serie de restricciones. Estos problemas son comunes en IA y tienen diversas aplicaciones, como programación de horarios o resolución de rompecabezas.",Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Árboles de Decisión,"Estructuras de datos utilizadas en aprendizaje automático para la toma de decisiones. Representan decisiones y sus posibles consecuencias, incluyendo resultados, costos y utilidades.",Fundamentos de Inteligencia Artificial,"[Nilsson, N. J. (2009). Artificial intelligence: a new synthesis. Morgan Kaufmann (Recomendada por UDG)] "
Algoritmo Minimax,Algoritmo utilizado en teoría de juegos y IA para encontrar el mejor movimiento en juegos de dos jugadores como el ajedrez o las damas. El algoritmo minimiza la pérdida máxima posible (de ahí su nombre).,Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Planificación Automática,Área de la IA que se centra en la generación automática de planes o secuencias de acciones para alcanzar un objetivo específico en un entorno determinado.,Fundamentos de Inteligencia Artificial,"[Rich, E., & Knight, K. (2009). Artificial intelligence. 3ra. Edición. McGraw Hill, New. (Recomendada por UDG)] "
Lógica Difusa,"Extensión de la lógica clásica que permite trabajar con conceptos vagos o imprecisos, como casi verdadero o casi falso. Utilizada en sistemas expertos y controladores difusos.",Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Reconocimiento de Patrones,"Técnica de IA que busca identificar y clasificar datos (patrones) basándose en información proporcionada por ejemplos. Se aplica en reconocimiento de voz, imagen y texto.",Fundamentos de Inteligencia Artificial,"[Nilsson, N. J. (2009). Artificial intelligence: a new synthesis. Morgan Kaufmann (Recomendada por UDG)] "
Robótica Autónoma,"Rama de la IA que se centra en el diseño, construcción y operación de robots que pueden actuar y tomar decisiones de forma independiente en entornos no estructurados y cambiantes.",Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Aprendizaje Supervisado,"Método de aprendizaje automático en el que el modelo es entrenado con un conjunto de datos etiquetado, es decir, donde cada ejemplo de entrenamiento está asociado a una etiqueta o resultado.",Fundamentos de Inteligencia Artificial,"[Rich, E., & Knight, K. (2009). Artificial intelligence. 3ra. Edición. McGraw Hill, New. (Recomendada por UDG)] "
Algoritmos de Búsqueda Local,Algoritmos que parten de una solución inicial y la modifican iterativamente para encontrar soluciones más óptimas. Son útiles en problemas de optimización donde el espacio de soluciones es grande.,Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Aprendizaje No Supervisado,"Método de aprendizaje automático en el que el modelo es entrenado con un conjunto de datos sin etiquetar, buscando identificar patrones o relaciones en los datos sin tener ejemplos de salida.",Fundamentos de Inteligencia Artificial,"[Rich, E., & Knight, K. (2009). Artificial intelligence. 3ra. Edición. McGraw Hill, New. (Recomendada por UDG)] "
Sistemas Multiagente,Sistemas compuestos por múltiples agentes inteligentes que interactúan para resolver problemas que son difíciles o imposibles de resolver por un solo agente.,Fundamentos de Inteligencia Artificial,"[Russell, S. and Norvig, P. (2015) “Artificial Intelligence: A Modern Approach”. Pearson Education (Recomendada por UDG)] "
Lógica de Predicados,Extensión de la lógica proposicional que permite expresar declaraciones más complejas mediante el uso de cuantificadores y predicados. Es fundamental en sistemas expertos y en la representación del conocimiento.,Fundamentos de Inteligencia Artificial,"[Nilsson, N. J. (2009). Artificial intelligence: a new synthesis. Morgan Kaufmann (Recomendada por UDG)] "
Redes Bayesianas,"Representaciones gráficas de las dependencias probabilísticas entre un conjunto de variables. Se utilizan en la IA para modelar incertidumbre, tomar decisiones bajo incertidumbre y aprender estructuras probabilísticas a partir de datos.",Fundamentos de Inteligencia Artificial,"[Rich, E., & Knight, K. (2009). Artificial intelligence. 3ra. Edición. McGraw Hill, New. (Recomendada por UDG)] "
